Conference,Dates,Champ,Runner-up
Atlantic Coast Conference,"Mar 10, 2011 - Mar 13, 2011",Duke,UNC
America East Conference,"Mar 03, 2011 - Mar 12, 2011",Boston U.,Stony Brook
Atlantic 10 Conference,"Mar 08, 2011 - Mar 13, 2011",Richmond,Dayton
Atlantic Sun Conference,"Mar 02, 2011 - Mar 05, 2011",Belmont,North Florida
Big 12 Conference,"Mar 09, 2011 - Mar 12, 2011",Kansas,Texas
Big East Conference,"Mar 08, 2011 - Mar 12, 2011",Connecticut,Louisville
Big Sky Conference,"Mar 05, 2011 - Mar 09, 2011",Northern Colo.,Montana
Big South Conference,"Mar 01, 2011 - Mar 05, 2011",UNC Asheville,Coastal Caro.
Big Ten Conference,"Mar 10, 2011 - Mar 13, 2011",Ohio St.,Penn St.
Big West Conference,"Mar 10, 2011 - Mar 12, 2011",UC-Santa Barbara,Long Beach State
Colonial Athletic Association,"Mar 04, 2011 - Mar 07, 2011",Old Dominion,VCU
Conference USA,"Mar 09, 2011 - Mar 12, 2011",Memphis,UTEP
Great West Conference,"Mar 10, 2011 - Mar 12, 2011",North Dakota,South Dakota
Horizon League,"Mar 01, 2011 - Mar 08, 2011",Butler,Milwaukee
Metro Atlantic Athletic Conference,"Mar 04, 2011 - Mar 07, 2011",St. Peter's,Iona
Mid-American Conference,"Mar 08, 2011 - Mar 12, 2011",Akron,Kent St.
Mid-Eastern Athletic Conference,"Mar 08, 2011 - Mar 12, 2011",Hampton,Morgan St.
Missouri Valley Conference,"Mar 03, 2011 - Mar 06, 2011",Indiana St.,Missouri St.
Mountain West Conference,"Mar 09, 2011 - Mar 12, 2011",San Diego St.,BYU
Northeast Conference,"Mar 03, 2011 - Mar 09, 2011",Long Island,Robert Morris
Ohio Valley Conference,"Mar 02, 2011 - Mar 05, 2011",Morehead St.,Tennessee Tech
Pacific-10 Conference,"Mar 09, 2011 - Mar 12, 2011",Washington,Arizona
Patriot League,"Mar 02, 2011 - Mar 11, 2011",Bucknell,Lafayette
Southeastern Conference,"Mar 10, 2011 - Mar 13, 2011",Kentucky,Florida
Southern Conference,"Mar 04, 2011 - Mar 07, 2011",Wofford,Charleston
Southland Conference,"Mar 09, 2011 - Mar 12, 2011",UTSA,McNeese St.
Summit League,"Mar 05, 2011 - Mar 08, 2011",Oakland,Oral Roberts
Sun Belt Conference,"Mar 05, 2011 - Mar 08, 2011",UALR,North Texas
Southwest Athletic Conference,"Mar 09, 2011 - Mar 12, 2011",Alabama St.,Grambling
Western Athletic Conference,"Mar 09, 2011 - Mar 12, 2011",Utah St.,Boise St.
West Coast Conference,"Mar 04, 2011 - Mar 07, 2011",Gonzaga,St. Mary's
