Feature,Delta_RMSE,Gradient_Sensitivity
TRB,254.38032486896373,0.00030346087
FG,190.2534504452903,0.0003653115
FT,97.72434092722173,0.0004462834
3P,77.04560997399531,0.00019804279
STL,39.912764591572774,0.00021161127
3PA,37.03763798967052,0.00026007587
Avg_Rank_Score,36.98967481693935,0.00022397572
AST,34.88629585041715,0.0003229344
FTA,29.063750326212748,0.0002588496
Total_Rank_Score,17.708724897936758,0.0004978695
Starting5_Plus_Minus,14.80169381510395,0.00023924425
Opponent Seed,10.816512197414758,0.002722339
ORtg,9.161141639062137,0.0005517917
Rank,7.811423292881028,0.0004968524
ORtg_y,6.2287795528194465,0.0015631339
SoS_ORtg,5.870604256175812,0.0004481634
TOV,3.488135564520482,0.000330251
SOS_basic,2.3738930233407416,0.00038767306
BLK%,2.1395853081863465,0.00029118304
Seed,1.8930321538667356,0.0011193492
Total_Pick_Score,0.9644452763570655,0.000228404
STL%,0.8927911492619728,0.00022186452
CO_FF_Appear,0.19350758500048357,0.00033428636
Scoring_Cohesion,0.07091495299369796,0.00022993049
Teamwork_Index,0.06675949103953087,0.00025174438
eFG%,0.04684685955919292,0.00023336321
TOV%,0.04529336948499178,0.00037101377
CO_S16_Appear,0.02683206816669781,0.00037400617
TS%,0.02676350386661568,0.00022032598
Current_W-L%,0.02594413673622,0.000531099
Starting5_DBPR,0.018212304824623972,0.00028594225
FTr,0.007816449124339897,0.00046937863
FT/FGA,0.007131568263591248,0.00024120577
Bench_DBPR,0.004131391273935492,0.00038624098
3PAr,0.001070978255026489,0.00044599714
Luck,-0.003142926224543885,0.00025473814
3P%,-0.018752611612623583,0.00037270118
Inverse_Rank_Sum,-0.020233774746080256,0.00034822786
Draft_Pick_Count,-0.022200203476393197,0.00017752111
FT%,-0.02745938504924652,0.00040486426
FG%,-0.029120265718896123,0.00024280997
Coach_Winning_Percentage,-0.032745288372564116,0.00066238205
Inverse_Pick_Sum,-0.03923474908783078,0.0003550065
Combined,-0.061827448063954196,0.00030019696
CO_Chmp_Appear,-0.06811730377319236,0.00024025863
Random Forest,-0.08144142205046023,0.00036241932
Win Percentage,-0.10827560019320685,0.00028063028
BPR_Spread,-0.15597630369624654,0.00037668768
Current_AP_Pre,-0.16242262837726287,0.0003151148
CO_NCAA_Tourney_Appear,-0.22322226937017434,0.00024479037
Net_Eff_Dev,-0.27529767175673214,0.00042579084
Bench_Plus_Minus,-0.2780003021932117,0.00033777146
Ranked_Player_Count,-0.30751292503687466,0.00042178103
NCSOS_NetRtg,-0.4792079603113251,0.00045169273
Pace,-0.48955867456672025,0.0006735554
Starting5_BPR,-0.49194747824920737,0.0002627791
Avg_Bayesian_PR,-0.5983401412579099,0.00043263132
Starting5_OBPR,-0.7309643749531034,0.00018670266
Bench_BPR,-0.7951291900523216,0.00026940223
Bench_OBPR,-1.0963808305953506,0.00032124502
Pass_Score,-1.3289506528443353,0.00024956113
SoS_NetRtg,-1.5056295023358814,0.00053238333
Avg_Plus_Minus,-1.5113240649433295,0.00042534815
NetRtg,-1.818795761417806,0.0010871387
Def_Sync_Score,-2.1070594393845794,0.00025406067
DRtg,-2.294635197526182,0.00035007944
AST%,-2.3918592399549197,0.00049863954
ORB%,-2.9119818669280675,0.00032555507
Avg_Pick_Number,-3.2787497862029737,0.00028263705
SRS_basic,-3.312301846647864,0.00032036917
TRB%,-3.9113247482361944,0.0003295641
BLK,-4.722885887285704,0.0004899454
AdjT,-5.472930959148019,0.00032965568
SoS_DRtg,-5.754902870641265,0.00031070184
FGA,-6.065423809824497,0.0006646089
ORB,-7.0668373609318875,0.0003204162
PF,-8.736811788469776,0.00054305815
ORtg_x,-9.85178840290906,0.0004167502
